id,title,price,original_price,sold,store_name,store_link,product_link
443,Y2K Zip up hoodie Dark Faux Fur Collar Aesthetics Hip Hop Fashion Jacket Vintage Rock Goth Zipper Hoodie sweatshirt Punk Clothes,MYR40.96,MYR0,24 sold,Bonjour boutique Store,//www.aliexpress.com/store/1101784596,//www.aliexpress.com/store/1101784596
444,Snoopy Kawaii Cartoon Print Hoodie for Women Soft Casual Loose Sportwear Female Sweatshirt Warm Fleece Ladies Clothes 2024,MYR22.55,MYR0,14 sold,Shop910338351 Store,//www.aliexpress.com/store/1101534670,//www.aliexpress.com/store/1101534670
445,Womens Glossy Bodycon Dress Wet Look Patent Leather Zipper Closure V Neck Backless Skinny Mini Dress for Rave Party Clubbing,MYR15.5,MYR0,64 sold,Freebily Fashion Store,//www.aliexpress.com/store/1102787072,//www.aliexpress.com/store/1102787072
446,KAOPU ZA 2024 Autumn Female Casual Sleeveless Satin Dresses Maxi Skirt Hipster Lady V-Collar Slip dress Ruffles Regular Fit Top,MYR26.57,MYR0,2 sold,KAOPU ZA Official Store,//www.aliexpress.com/store/1104114397,//www.aliexpress.com/store/1104114397
447,Cute Axolotl Loves Playing Video Games Hoodie Women Kawaii Harajuku Cartoon Hoodies Unisex Autumn Winter Pullovers Sweatshirts,MYR29.32,MYR0,10 sold,Shop1103927008 Store,//www.aliexpress.com/store/1103925011,//www.aliexpress.com/store/1103925011
448,ZWZINCON 2025 Gym Wear Yoga Casual Trackwear Shorts Flower Pants High Quality Multicolored All-Print Quick Dry Shorts 0503,MYR55.5,MYR0,5 sold,Shop1104299121 Store,//www.aliexpress.com/store/1104310099,//www.aliexpress.com/store/1104310099
449,Student Casual Custom Printed Text DIY Hoodies 2024 Customized Logo Hoody Custom Long Sleeve Hoodie Text Logo Sweatshirt,MYR41.16,MYR0,3 sold,YC06 Store,//www.aliexpress.com/store/1103938577,//www.aliexpress.com/store/1103938577
450,2024 New Arrival Spring/summer Korean Style Women Loose Casual Cotton Denim Patchwork A-line Mid-calf Elastic Waist Skirt P03,MYR107.31,MYR0,5 sold,No. 66 Store,//www.aliexpress.com/store/1101920162,//www.aliexpress.com/store/1101920162
451,Y2K Women's Clothing Sweatshirt Vintage Print Pullover Long Sleeve Top Oversize Streetwear Fashion Christmas overcoat jacket new,MYR42.64,MYR0,103 sold,ZSIIBO MiNiZo Store,//www.aliexpress.com/store/1101422377,//www.aliexpress.com/store/1101422377
452,Oogie Boogie Loops Christmas Print Women's Autumn and Winter Hoodie Plus Fleece Sweater Loose Top,MYR57.48,MYR0,5 sold,BLT CRFS Store,//www.aliexpress.com/store/1103304641,//www.aliexpress.com/store/1103304641
